Land,EVP-ED,PSE,ALDE,Verts/ALE,GUE/NGL,IND/DEM,UEN,NI,Anzahl der Sitze
Belgien,6,7,6,2,,,,3,24
Dänemark,1,5,4,1,1,1,1,,14
Deutschland,49,23,7,13,7,,,,99
Estland,1,3,2,,,,,,6
Finnland,4,3,5,1,1,,,,14
Frankreich,17,31,11,6,3,3,,7,78
Griechenland,11,8,,,4,1,,,24
Irland,5,1,1,,1,1,4,,13
Italien,24,16,12,2,7,4,9,4,78
Lettland,3,,1,1,,,4,,9
Litauen,2,2,7,,,,2,,13
Luxemburg,3,1,1,1,,,,,6
Malta,2,3,,,,,,,5
Niederlande,7,7,5,4,2,2,,,27
Österreich,6,7,,2,,,,3,18
Polen,19,8,4,,,10,7,6,54
Portugal,9,12,,,3,,,,24
Schweden,5,5,3,1,2,3,,,19
Slowakei,8,3,,,,,,3,14
Slowenien,4,1,2,,,,,,7
Spanien,24,24,2,3,1,,,,54
Tschechien,14,2,,,6,1,,1,24
Ungarn,13,9,2,,,,,,24
Vereinigtes Königreich,28,19,12,5,1,11,,2,78
Zypern,3,,1,,2,,,,6
Europäische Union,268,200,88,42,41,37,27,29,732
